"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","46382"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45913"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45834"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","26112"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","25806"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","25286"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","25010"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","24914"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","31921"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","31230"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","31192"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","30620"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","30175"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","317722"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","319958"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","322283"
